Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-05-11,2026-05-12,4321,STARBUCKS #1148,Dining,5.85,
2026-05-12,2026-05-13,4321,VENTRA VENDING,Other Travel,10.00,
2026-05-14,2026-05-15,4321,DELTA AIR LINES,Airfare,318.40,
2026-05-15,2026-05-16,4321,MARRIOTT BONVOY,Lodging,212.66,
2026-05-17,2026-05-18,4321,KROGER #882,Merchandise,68.42,
2026-05-19,2026-05-20,4321,UBER EATS,Dining,27.15,
2026-05-21,2026-05-22,4321,PLANET FITNESS,Entertainment,24.99,
2026-05-23,2026-05-24,4321,AMAZON MKTPL,Merchandise,91.33,
2026-05-25,2026-05-26,4321,GOOGLE ONE STORAGE,Internet,2.99,
2026-05-26,2026-05-27,4321,NETFLIX.COM,Other Services,17.99,
2026-05-28,2026-05-29,4321,PUBLIC STORAGE 21400,Other Travel,53.31,
2026-05-30,2026-05-31,4321,SHELL OIL 574,Gas/Automotive,41.20,
2026-06-02,2026-06-03,4321,CHIPOTLE MEXICAN GRILL,Dining,14.95,
2026-06-04,2026-06-05,4321,TARGET T-2299,Merchandise,63.77,
2026-06-06,2026-06-07,4321,WHOLE FOODS MKT,Merchandise,44.51,
2026-06-08,2026-06-09,4321,VENTRA VENDING,Other Travel,10.00,
2026-06-10,2026-06-11,4321,CAPITAL ONE MOBILE PYMTAuthDate 10-Jun,Payment/Credit,,650.00
